scenario,time,state,obs,action,value,rep,method
1,31,33,33,10,0.03707396831741643,5,POMDP
1,32,32,32,9,0.03130690657915166,5,POMDP
1,33,34,34,11,0.037176951562742595,5,POMDP
1,34,34,34,11,0.03531810398460546,5,POMDP
1,35,32,32,9,0.02684175902830015,5,POMDP
1,36,34,34,11,0.03187458884610642,5,POMDP
1,37,33,33,10,0.027252773463420994,5,POMDP
1,38,34,34,11,0.028766816433611047,5,POMDP
1,39,33,33,10,0.02459562805073744,5,POMDP
1,40,34,34,11,0.025962051831333967,5,POMDP
1,41,35,35,12,0.027130344163743995,5,POMDP
1,42,34,34,11,0.023430751777778903,5,POMDP
1,43,34,34,11,0.02225921418888996,5,POMDP
1,44,33,33,10,0.019031628131500913,5,POMDP
1,45,35,35,12,0.0220978348860205,5,POMDP
1,46,34,34,11,0.019084493765199523,5,POMDP
1,47,34,34,11,0.01813026907693955,5,POMDP
1,48,34,34,11,0.017223755623092567,5,POMDP
1,49,32,32,9,0.013090054273550353,5,POMDP
1,50,33,33,10,0.013989995504856937,5,POMDP
1,51,34,34,11,0.01476721747734899,5,POMDP
1,52,33,33,10,0.012625970943133384,5,POMDP
1,53,32,32,9,0.01066193101864597,5,POMDP
1,54,35,35,12,0.013927147393106297,5,POMDP
1,55,35,35,12,0.013230790023450982,5,POMDP
1,56,33,33,10,0.010283932245500534,5,POMDP
1,57,33,33,10,0.009769735633225507,5,POMDP
1,58,31,31,8,0.0072187491067721805,5,POMDP
1,59,33,33,10,0.00881718640898602,5,POMDP
1,60,32,32,9,0.007445624078699305,5,POMDP
1,61,36,36,13,0.01061001431214651,5,POMDP
1,62,33,33,10,0.007559635197404387,5,POMDP
1,63,33,33,10,0.0071816534375341665,5,POMDP
1,64,33,33,10,0.0068225707656574585,5,POMDP
1,65,33,33,10,0.006481442227374586,5,POMDP
1,66,32,32,9,0.0054732178808940945,5,POMDP
1,67,32,32,9,0.005199556986849389,5,POMDP
1,68,34,34,11,0.00617447392188365,5,POMDP
1,69,34,34,11,0.005865750225789467,5,POMDP
1,70,34,34,11,0.005572462714499993,5,POMDP
1,71,31,31,8,0.0037056877051424957,5,POMDP
1,72,33,33,10,0.004526232839852619,5,POMDP
1,73,34,34,11,0.004777690219844432,5,POMDP
1,74,31,31,8,0.003177163996196547,5,POMDP
1,75,34,34,11,0.004311865423409599,5,POMDP
1,76,33,33,10,0.0036866449370152065,5,POMDP
1,77,34,34,11,0.0038914585446271624,5,POMDP
1,78,34,34,11,0.003696885617395804,5,POMDP
1,79,33,33,10,0.003160837202873412,5,POMDP
1,80,31,31,8,0.0023355074887897996,5,POMDP
1,81,34,34,11,0.003169617306214727,5,POMDP
1,82,34,34,11,0.003011136440903991,5,POMDP
1,83,32,32,9,0.0022884636950870328,5,POMDP
1,84,32,32,9,0.002174040510332681,5,POMDP
1,85,33,33,10,0.0023235057954180526,5,POMDP
1,86,33,33,10,0.00220733050564715,5,POMDP
1,87,35,35,12,0.002562955976001413,5,POMDP
1,88,33,33,10,0.0019921157813465526,5,POMDP
1,89,34,34,11,0.00210278888031025,5,POMDP
1,90,35,35,12,0.0021974143799242114,5,POMDP
1,91,32,32,9,0.0015182135715840002,5,POMDP
1,92,34,34,11,0.0018028786162560006,5,POMDP
1,93,33,33,10,0.0015414612168988802,5,POMDP
1,94,34,34,11,0.0016270979511710402,5,POMDP
1,95,34,34,11,0.0015457430536124882,5,POMDP
1,96,31,31,8,0.0010279191306523047,5,POMDP
1,97,33,33,10,0.0012555297952967432,5,POMDP
1,98,33,33,10,0.001192753305531906,5,POMDP
1,99,34,34,11,0.0012590173780614564,5,POMDP
1,1,9,9,1,0,6,POMDP
1,2,14,14,1,0,6,POMDP
1,3,20,20,1,0,6,POMDP
1,4,29,29,6,0.08227335858585859,6,POMDP
1,5,33,33,10,0.14068744318181814,6,POMDP
1,6,34,34,11,0.14850341224747474,6,POMDP
1,7,33,33,10,0.12697041747159085,6,POMDP
1,8,33,33,10,0.12062189659801133,6,POMDP
1,9,34,34,11,0.12732311307567862,6,POMDP
